,Variety,Freq,d(cm),M%,Density,Attn,Phase,Phase_Corr,Permittivity_real,Permittivity_imaginary
136,BURTON,12.0,5.3,23.014,0.6734,22.1,179.052,-540.948,2.883,0.653
137,BURTON,13.0,5.3,23.014,0.6734,27.03,121.411,-598.589,2.926,0.743
138,BURTON,14.0,5.3,23.014,0.6734,27.66,95.864,-624.136,2.851,0.697
139,BURTON,15.0,5.3,23.014,0.6734,29.74,59.735,-660.265,2.821,0.696
140,EVE WINTER,8.0,7.7,11.41,0.7954,8.9954,-81.567,-441.567,2.545,0.256
141,EVE WINTER,9.0,7.7,11.41,0.7954,10.5742,-131.711,-491.711,2.525,0.267
142,EVE WINTER,10.0,7.7,11.41,0.7954,11.972,177.383,-542.618,2.512,0.272
143,EVE WINTER,11.0,7.7,11.41,0.7954,12.5786,131.035,-588.965,2.488,0.258
144,EVE WINTER,12.0,7.7,11.41,0.7954,12.8795,77.492,-642.508,2.489,0.242
145,EVE WINTER,13.0,7.7,11.41,0.7954,13.5556,25.431,-694.569,2.485,0.235
146,EVE WINTER,14.0,7.7,11.41,0.7954,15.1392,-29.858,-749.858,2.489,0.244
147,EVE WINTER,15.0,7.7,11.41,0.7954,16.9542,-76.168,-796.168,2.472,0.254
148,EVE WINTER,16.0,7.7,11.41,0.7954,18.2728,-124.33,-844.33,2.462,0.257
149,EVE WINTER,17.0,7.7,11.41,0.7954,18.9384,-175.384,-895.384,2.459,0.25
150,EVE WINTER,18.0,7.7,11.41,0.7954,20.0873,121.196,-958.804,2.479,0.251
151,EVE WINTER,7.0,7.7,11.41,0.8632,8.1343,-55.059,-415.059,2.688,0.273
152,EVE WINTER,8.0,7.7,11.41,0.8632,9.6561,-115.248,-475.248,2.692,0.283
153,EVE WINTER,9.0,7.7,11.41,0.8632,11.1818,-169.595,-529.595,2.671,0.29
154,EVE WINTER,10.0,7.7,11.41,0.8632,12.5786,134.648,-585.352,2.66,0.294
155,EVE WINTER,11.0,7.7,11.41,0.8632,13.3512,84.889,-635.111,2.633,0.281
156,EVE WINTER,12.0,7.7,11.41,0.8632,13.7649,28.772,-691.228,2.629,0.266
157,EVE WINTER,13.0,7.7,11.41,0.8632,14.5632,-25.689,-745.689,2.621,0.26
158,EVE WINTER,14.0,7.7,11.41,0.8632,16.3062,-83.691,-803.691,2.622,0.27
