,Variety,Freq,d(cm),M%,Density,Attn,Phase,Phase_Corr,Permittivity_real,Permittivity_imaginary
144,GA PRICHARD,18.0,7.7,12.26,0.7185,26.558,64.775,-1015.225,2.582,0.339
145,GA PRICHARD,6.0,7.7,12.26,0.7822,8.1787,-18.347,-378.347,2.821,0.328
146,GA PRICHARD,7.0,7.7,12.26,0.7822,9.7891,-74.434,-434.434,2.784,0.334
147,GA PRICHARD,8.0,7.7,12.26,0.7822,11.3727,-136.118,-496.118,2.782,0.34
148,GA PRICHARD,9.0,7.7,12.26,0.7822,12.7278,166.084,-553.916,2.766,0.336
149,GA PRICHARD,10.0,7.7,12.26,0.7822,14.1107,104.133,-615.868,2.767,0.335
150,GA PRICHARD,11.0,7.7,12.26,0.7822,15.2391,48.733,-671.267,2.747,0.329
151,GA PRICHARD,12.0,7.7,12.26,0.7822,16.4782,-10.227,-730.227,2.741,0.325
152,GA PRICHARD,13.0,7.7,12.26,0.7822,17.7211,-65.582,-785.582,2.726,0.321
153,GA PRICHARD,14.0,7.7,12.26,0.7822,19.4939,-127.524,-847.524,2.73,0.329
154,GA PRICHARD,15.0,7.7,12.26,0.7822,21.7237,174.559,-905.441,2.723,0.342
155,GA PRICHARD,16.0,7.7,12.26,0.7822,24.2934,113.825,-966.175,2.722,0.358
156,GA PRICHARD,17.0,7.7,12.26,0.7822,26.0206,61.297,-1018.703,2.706,0.361
157,GA PRICHARD,18.0,7.7,12.26,0.7822,26.558,5.422,-1074.578,2.699,0.346
158,GA PRICHARD,6.0,7.7,12.26,0.8213,8.5891,-26.693,-386.693,2.871,0.347
159,GA PRICHARD,7.0,7.7,12.26,0.8213,10.1728,-83.486,-443.486,2.831,0.35
160,GA PRICHARD,8.0,7.7,12.26,0.8213,11.7676,-146.07,-506.07,2.827,0.354
161,GA PRICHARD,9.0,7.7,12.26,0.8213,13.1911,155.355,-564.645,2.808,0.352
162,GA PRICHARD,10.0,7.7,12.26,0.8213,14.6566,92.597,-627.403,2.808,0.351
163,GA PRICHARD,11.0,7.7,12.26,0.8213,15.8635,36.337,-683.663,2.787,0.344
164,GA PRICHARD,12.0,7.7,12.26,0.8213,16.9542,-23.821,-743.821,2.781,0.337
165,GA PRICHARD,13.0,7.7,12.26,0.8213,18.1316,-80.388,-800.388,2.767,0.331
166,GA PRICHARD,14.0,7.7,12.26,0.8213,19.7433,-143.388,-863.388,2.77,0.336
167,GA PRICHARD,15.0,7.7,12.26,0.8213,21.8303,158.194,-921.807,2.762,0.346
168,GA PRICHARD,16.0,7.7,12.26,0.8213,24.437,97.388,-982.612,2.759,0.362
169,GA PRICHARD,17.0,7.7,12.26,0.8213,26.3752,44.938,-1035.062,2.74,0.366
170,GA PRICHARD,18.0,7.7,12.26,0.8213,27.1309,-10.448,-1090.448,2.73,0.357
171,GA PRICHARD,5.0,7.7,15.28,0.7048,9.0939,30.824,-329.176,2.916,0.445
172,GA PRICHARD,6.0,7.7,15.28,0.7048,11.634,-31.789,-391.789,2.894,0.473
173,GA PRICHARD,7.0,7.7,15.28,0.7048,13.9361,-90.076,-450.076,2.856,0.481
174,GA PRICHARD,8.0,7.7,15.28,0.7048,16.082,-154.374,-514.374,2.855,0.487
175,GA PRICHARD,9.0,7.7,15.28,0.7048,17.8558,145.866,-574.135,2.837,0.478
176,GA PRICHARD,10.0,7.7,15.28,0.7048,19.5762,83.246,-636.754,2.834,0.472
177,GA PRICHARD,11.0,7.7,15.28,0.7048,21.2096,29.04,-690.96,2.803,0.463
178,GA PRICHARD,12.0,7.7,15.28,0.7048,23.3498,-26.982,-746.982,2.782,0.464
179,GA PRICHARD,13.0,7.7,15.28,0.7048,25.5145,-79.467,-799.467,2.754,0.467
180,GA PRICHARD,14.0,7.7,15.28,0.7048,28.636,-140.688,-860.688,2.752,0.485
181,GA PRICHARD,5.0,7.7,15.28,0.7688,10.0614,4.647,-355.353,3.109,0.508
182,GA PRICHARD,6.0,7.7,15.28,0.7688,12.7278,-63.182,-423.182,3.086,0.533
183,GA PRICHARD,7.0,7.7,15.28,0.7688,14.9916,-126.155,-486.155,3.045,0.535
184,GA PRICHARD,8.0,7.7,15.28,0.7688,17.0156,165.332,-554.668,3.041,0.531
185,GA PRICHARD,9.0,7.7,15.28,0.7688,18.4891,102.791,-617.209,3.014,0.511
186,GA PRICHARD,10.0,7.7,15.28,0.7688,20.0,37.701,-682.299,3.002,0.497
187,GA PRICHARD,11.0,7.7,15.28,0.7688,21.8303,-19.31,-739.31,2.964,0.489
188,GA PRICHARD,12.0,7.7,15.28,0.7688,24.2934,-78.831,-798.831,2.939,0.497
189,GA PRICHARD,13.0,7.7,15.28,0.7688,27.1309,-133.86,-853.86,2.905,0.508
190,GA PRICHARD,5.0,7.7,15.28,0.8013,10.3999,-5.71,-365.71,3.188,0.533
191,GA PRICHARD,6.0,7.7,15.28,0.8013,13.1122,-75.159,-435.159,3.162,0.558
192,GA PRICHARD,7.0,7.7,15.28,0.8013,15.4423,-139.481,-499.481,3.116,0.558
193,GA PRICHARD,8.0,7.7,15.28,0.8013,17.523,150.606,-569.394,3.11,0.553
194,GA PRICHARD,9.0,7.7,15.28,0.8013,19.0156,86.756,-633.244,3.08,0.531
195,GA PRICHARD,10.0,7.7,15.28,0.8013,20.6303,20.145,-699.855,3.067,0.517
196,GA PRICHARD,11.0,7.7,15.28,0.8013,22.3837,-38.436,-758.436,3.028,0.508
197,GA PRICHARD,12.0,7.7,15.28,0.8013,25.0362,-99.731,-819.731,3.003,0.517
198,GA PRICHARD,13.0,7.7,15.28,0.8013,27.7443,-156.117,-876.117,2.967,0.529
199,GA PRICHARD,5.0,7.7,15.73,0.6988,9.7891,25.119,-334.881,2.956,0.482
200,GA PRICHARD,6.0,7.7,15.73,0.6988,12.2522,-39.139,-399.139,2.937,0.502
201,GA PRICHARD,7.0,7.7,15.73,0.6988,14.4249,-98.005,-458.005,2.896,0.503
202,GA PRICHARD,8.0,7.7,15.73,0.6988,16.5363,-161.965,-521.965,2.889,0.504
203,GA PRICHARD,9.0,7.7,15.73,0.6988,18.2728,139.046,-580.954,2.864,0.493
204,GA PRICHARD,10.0,7.7,15.73,0.6988,20.1755,76.34,-643.66,2.858,0.49
205,GA PRICHARD,11.0,7.7,15.73,0.6988,22.1581,20.656,-699.344,2.829,0.485
206,GA PRICHARD,12.0,7.7,15.73,0.6988,24.2934,-37.187,-757.187,2.811,0.487
207,GA PRICHARD,13.0,7.7,15.73,0.6988,26.558,-89.751,-809.751,2.781,0.488
208,GA PRICHARD,14.0,7.7,15.73,0.6988,29.3704,-148.217,-868.217,2.77,0.501
209,GA PRICHARD,5.0,7.7,15.73,0.7697,10.3999,-1.822,-361.822,3.158,0.53
210,GA PRICHARD,6.0,7.7,15.73,0.7697,12.995,-70.469,-430.469,3.132,0.549
211,GA PRICHARD,7.0,7.7,15.73,0.7697,15.2391,-133.555,-493.555,3.084,0.549
212,GA PRICHARD,8.0,7.7,15.73,0.7697,17.3933,158.235,-561.765,3.073,0.547
213,GA PRICHARD,9.0,7.7,15.73,0.7697,19.1721,95.839,-624.161,3.041,0.532
214,GA PRICHARD,10,7.7,15.73,0.7697,21.0122,29.807,-690.193,3.029,0.524
215,GA PRICHARD,11.0,7.7,15.73,0.7697,22.8534,-28.934,-748.934,2.995,0.516
216,GA PRICHARD,12.0,7.7,15.73,0.7697,25.3521,-89.967,-809.967,2.972,0.52
217,GA PRICHARD,13.0,7.7,15.73,0.7697,27.7443,-144.663,-864.663,2.935,0.525
218,GA PRICHARD,5.0,7.7,15.73,0.7999,10.782,-14.226,-374.226,3.252,0.557
219,GA PRICHARD,6.0,7.7,15.73,0.7999,13.4324,-84.998,-444.998,3.224,0.577
220,GA PRICHARD,7.0,7.7,15.73,0.7999,15.7562,-150.005,-510.005,3.173,0.574
221,GA PRICHARD,8.0,7.7,15.73,0.7999,17.9239,140.054,-579.946,3.159,0.57
222,GA PRICHARD,9.0,7.7,15.73,0.7999,19.5762,76.436,-643.564,3.122,0.552
223,GA PRICHARD,10,7.7,15.73,0.7999,21.4116,9.194,-710.806,3.107,0.542
224,GA PRICHARD,11.0,7.7,15.73,0.7999,23.3498,-50.928,-770.928,3.069,0.533
225,GA PRICHARD,12.0,7.7,15.73,0.7999,25.8486,-113.886,-833.886,3.046,0.54
226,GA PRICHARD,13.0,7.7,15.73,0.7999,28.636,-170.424,-890.424,3.007,0.549
227,GA WOODRUFF,9.0,7.7,9.58,0.7523,8.4272,-133.156,-493.156,2.533,0.213
228,GA WOODRUFF,10.0,7.7,9.58,0.7523,9.4732,170.833,-549.167,2.537,0.216
229,GA WOODRUFF,11.0,7.7,9.58,0.7523,10.2856,119.122,-600.878,2.527,0.212
230,GA WOODRUFF,12.0,7.7,9.58,0.7523,11.0568,62.611,-657.389,2.533,0.209
231,GA WOODRUFF,13.0,7.7,9.58,0.7523,11.8352,9.476,-710.524,2.529,0.207
232,GA WOODRUFF,14.0,7.7,9.58,0.7523,12.995,-49.162,-769.162,2.538,0.211
233,GA WOODRUFF,15.0,7.7,9.58,0.7523,14.4249,-103.743,-823.743,2.537,0.219
234,GA WOODRUFF,16.0,7.7,9.58,0.7523,16.3631,-162.355,-882.355,2.545,0.233
235,GA WOODRUFF,17.0,7.7,9.58,0.7523,18.2728,144.895,-935.105,2.539,0.245
236,GA WOODRUFF,18.0,7.7,9.58,0.7523,20.4455,89.317,-990.683,2.54,0.259
237,GA WOODRUFF,9.0,7.7,9.58,0.8023,8.6595,-155.676,-515.676,2.62,0.223
238,GA WOODRUFF,10.0,7.7,9.58,0.8023,9.709,145.83,-574.17,2.624,0.224
239,GA WOODRUFF,11.0,7.7,9.58,0.8023,10.5157,91.792,-628.208,2.613,0.221
240,GA WOODRUFF,12.0,7.7,9.58,0.8023,11.3406,32.962,-687.038,2.619,0.219
241,GA WOODRUFF,13.0,7.7,9.58,0.8023,12.1813,-21.931,-741.931,2.612,0.216
242,GA WOODRUFF,14.0,7.7,9.58,0.8023,13.3512,-82.018,-802.018,2.62,0.22
243,GA WOODRUFF,15.0,7.7,9.58,0.8023,14.7036,-137.538,-857.538,2.615,0.227
244,GA WOODRUFF,16.0,7.7,9.58,0.8023,16.4205,163.256,-916.745,2.619,0.238
245,GA WOODRUFF,17.0,7.7,9.58,0.8023,18.0618,110.149,-969.851,2.61,0.245
246,GA WOODRUFF,18.0,7.7,9.58,0.8023,19.7433,53.784,-1026.216,2.609,0.253
247,GA WOODRUFF,9.0,7.7,9.58,0.8333,8.9466,-166.433,-526.433,2.662,0.232
248,GA WOODRUFF,10.0,7.7,9.58,0.8333,10.0063,133.91,-586.09,2.666,0.233
249,GA WOODRUFF,11.0,7.7,9.58,0.8333,10.8424,78.758,-641.242,2.655,0.23
250,GA WOODRUFF,12.0,7.7,9.58,0.8333,11.7005,18.732,-701.268,2.66,0.227
251,GA WOODRUFF,13.0,7.7,9.58,0.8333,12.5418,-37.244,-757.244,2.653,0.224
252,GA WOODRUFF,14.0,7.7,9.58,0.8333,13.6387,-98.575,-818.575,2.661,0.227
253,GA WOODRUFF,15.0,7.7,9.58,0.8333,14.9916,-155.378,-875.378,2.657,0.232
254,GA WOODRUFF,16.0,7.7,9.58,0.8333,16.6537,143.878,-936.122,2.662,0.242
255,GA WOODRUFF,17.0,7.7,9.58,0.8333,18.2019,89.367,-990.633,2.653,0.25
256,GA WOODRUFF,18.0,7.7,9.58,0.8333,20.0873,31.832,-1048.168,2.651,0.26
257,GA WOODRUFF,6.0,7.7,13.42,0.7214,9.6561,-17.544,-377.544,2.813,0.387
258,GA WOODRUFF,7.0,7.7,13.42,0.7214,11.6009,-73.828,-433.828,2.777,0.395
259,GA WOODRUFF,8.0,7.7,13.42,0.7214,13.4324,-135.911,-495.911,2.777,0.401
260,GA WOODRUFF,9.0,7.7,13.42,0.7214,14.9429,165.916,-554.085,2.763,0.394
261,GA WOODRUFF,10.0,7.7,13.42,0.7214,16.4205,103.884,-616.116,2.764,0.391
262,GA WOODRUFF,11.0,7.7,13.42,0.7214,17.8558,48.984,-671.016,2.743,0.384
263,GA WOODRUFF,12.0,7.7,13.42,0.7214,19.4123,-8.847,-728.847,2.733,0.383
264,GA WOODRUFF,13.0,7.7,13.42,0.7214,21.2096,-63.214,-783.214,2.716,0.385
265,GA WOODRUFF,14.0,7.7,13.42,0.7214,23.7417,-125.151,-845.151,2.719,0.401
266,GA WOODRUFF,15.0,7.7,13.42,0.7214,26.7448,175.361,-904.639,2.715,0.422
267,GA WOODRUFF,6.0,7.7,13.42,0.7704,10.1448,-33.537,-393.537,2.909,0.413
268,GA WOODRUFF,7.0,7.7,13.42,0.7704,12.076,-91.3,-451.3,2.867,0.418
269,GA WOODRUFF,8.0,7.7,13.42,0.7704,13.9361,-155.175,-515.175,2.864,0.423
270,GA WOODRUFF,9.0,7.7,13.42,0.7704,15.5457,144.796,-575.204,2.847,0.417
271,GA WOODRUFF,10.0,7.7,13.42,0.7704,17.1397,80.511,-639.489,2.848,0.413
272,GA WOODRUFF,11.0,7.7,13.42,0.7704,18.4891,23.382,-696.618,2.826,0.405
273,GA WOODRUFF,12.0,7.7,13.42,0.7704,20.0,-36.744,-756.744,2.817,0.401
274,GA WOODRUFF,13.0,7.7,13.42,0.7704,21.6184,-92.554,-812.554,2.796,0.399
275,GA WOODRUFF,14.0,7.7,13.42,0.7704,24.0132,-154.487,-874.487,2.794,0.41
276,GA WOODRUFF,15.0,7.7,13.42,0.7704,26.7448,148.255,-931.745,2.78,0.427
277,GA WOODRUFF,5.0,7.7,13.42,0.7966,8.1787,17.89,-342.11,3.016,0.407
278,GA WOODRUFF,6.0,7.7,13.42,0.7966,10.4287,-46.989,-406.989,2.992,0.431
