Unnamed: 0,Variety,Freq,d(cm),M%,Density,Attn,Phase,Phase_Corr,Permittivity_real,Permittivity_imaginary,Phase/Attn
141,KANSAS,14.0,6.5,18.13,0.842,29.897,-120.09,-840.09,3.098,0.639,-4.016790982372814
142,KANSAS,7.0,4.4,20.43,0.6692,9.2185,92.248,-267.752,2.947,0.567,10.006834083636166
143,KANSAS,8.0,4.4,20.43,0.6692,10.6036,59.201,-300.799,2.904,0.566,5.583103851522124
144,KANSAS,9.0,4.4,20.43,0.6692,11.9033,29.09,-330.91,2.85,0.561,2.4438601060210194
145,KANSAS,10.0,4.4,20.43,0.6692,13.4324,-2.574,-362.574,2.817,0.566,-0.19162621720615824
146,KANSAS,11.0,4.4,20.43,0.6692,14.751,-31.152,-391.152,2.772,0.561,-2.1118568232662196
147,KANSAS,12.0,4.4,20.43,0.6692,16.1934,-62.419,-422.419,2.75,0.561,-3.854595081946966
148,KANSAS,13.0,4.4,20.43,0.6692,17.523,-92.274,-452.274,2.724,0.559,-5.26587913028591
149,KANSAS,14.0,4.4,20.43,0.6692,19.2515,-125.647,-485.647,2.716,0.57,-6.526608316235099
150,KANSAS,15.0,4.4,20.43,0.6692,21.31,-156.487,-516.487,2.698,0.585,-7.343359924917879
151,KANSAS,16.0,4.4,20.43,0.6692,23.7417,171.748,-548.252,2.685,0.611,7.234022837454773
152,KANSAS,17.0,4.4,20.43,0.6692,25.8486,144.643,-575.357,2.657,0.624,5.595776947300821
153,KANSAS,18.0,4.4,20.43,0.6692,27.9588,116.182,-603.818,2.637,0.635,4.155471622530294
154,KANSAS,6.0,4.4,20.43,0.7401,8.7304,95.897,-264.103,3.329,0.666,10.9842618894896
155,KANSAS,7.0,4.4,20.43,0.7401,10.2856,61.729,-298.271,3.232,0.663,6.001497238858209
156,KANSAS,8.0,4.4,20.43,0.7401,11.8692,25.582,-334.418,3.176,0.664,2.155326390995181
157,KANSAS,9.0,4.4,20.43,0.7401,13.3109,-7.32,-367.32,3.109,0.655,-0.5499252492318326
158,KANSAS,10.0,4.4,20.43,0.7401,14.9429,-42.385,-402.385,3.07,0.657,-2.83646414016021
159,KANSAS,11.0,4.4,20.43,0.7401,16.4205,-74.393,-434.393,3.02,0.652,-4.530495417313723
160,KANSAS,12.0,4.4,20.43,0.7401,17.9926,-109.337,-469.337,2.995,0.652,-6.076776007914365
161,KANSAS,13.0,4.4,20.43,0.7401,19.4939,-142.446,-502.446,2.965,0.65,-7.3072089217652705
162,KANSAS,14.0,4.4,20.43,0.7401,21.31,-179.305,-539.305,2.955,0.659,-8.41412482402628
163,KANSAS,15.0,4.4,20.43,0.7401,23.3498,146.327,-573.673,2.936,0.67,6.266734618711938
164,KANSAS,16.0,4.4,20.43,0.7401,25.6799,110.094,-609.906,2.925,0.691,4.287166227282817
165,KANSAS,17.0,4.4,20.43,0.7401,27.7443,78.718,-641.282,2.898,0.7,2.8372674747605817
166,KANSAS,18.0,4.4,20.43,0.7401,29.6297,46.586,-673.414,2.877,0.702,1.572273765849806
167,KANSAS,6.0,4.4,20.43,0.7945,9.6297,73.431,-286.569,3.587,0.764,7.625471198479703
168,KANSAS,7.0,4.4,20.43,0.7945,11.4373,36.214,-323.786,3.478,0.767,3.1663067332324935
169,KANSAS,8.0,4.4,20.43,0.7945,13.3512,-2.611,-362.611,3.411,0.774,-0.19556294565282523
170,KANSAS,9.0,4.4,20.43,0.7945,15.0405,-37.661,-397.661,3.33,0.768,-2.503972607293641
171,KANSAS,10.0,4.4,20.43,0.7945,16.9542,-75.041,-435.041,3.282,0.773,-4.42610090714985
172,KANSAS,11.0,4.4,20.43,0.7945,18.7108,-109.166,-469.166,3.223,0.769,-5.834384419693439
173,KANSAS,12.0,4.4,20.43,0.7945,20.6303,-146.214,-506.214,3.19,0.773,-7.087342404133726
174,KANSAS,13.0,4.4,20.43,0.7945,22.3837,179.046,-540.954,3.151,0.769,7.998945661351787
175,KANSAS,14.0,4.4,20.43,0.7945,24.2934,140.609,-579.392,3.135,0.775,5.787950636798473
176,KANSAS,15.0,4.4,20.43,0.7945,26.3752,104.711,-615.289,3.109,0.78,3.9700552033728655
177,KANSAS,16.0,4.4,20.43,0.7945,28.636,66.449,-653.551,3.096,0.793,2.3204707361363317
