Unnamed: 0,Variety,Freq,d(cm),M%,Density,Attn,Phase,Phase_Corr,Permittivity_real,Permittivity_imaginary,Type,Phase/Attn,Freq*d(cm),Freq*Attn
65,KANSAS,7.0,7.7,13.85,0.8147,11.8013,-83.407,-443.407,2.827,0.406,15.855505617977526,-7.067611195376781,53.9,82.6091
66,KANSAS,8.0,7.7,13.85,0.8147,13.6806,-144.447,-504.447,2.816,0.411,15.855505617977526,-10.558528134730933,61.6,109.4448
67,KANSAS,9.0,7.7,13.85,0.8147,15.2894,159.169,-560.832,2.789,0.406,15.855505617977526,10.410415058798907,69.3,137.6046
68,KANSAS,10.0,7.7,13.85,0.8147,16.7726,98.995,-621.005,2.781,0.401,15.855505617977526,5.902185707642226,77.0,167.726
69,KANSAS,11.0,7.7,13.85,0.8147,17.9239,44.673,-675.327,2.757,0.388,15.855505617977526,2.4923705220404044,84.7,197.1629
70,KANSAS,12.0,7.7,13.85,0.8147,19.0156,-13.607,-733.607,2.748,0.377,15.855505617977526,-0.715570373798355,92.4,228.1872
71,KANSAS,13.0,7.7,13.85,0.8147,20.2646,-67.725,-787.725,2.729,0.368,15.855505617977526,-3.3420348785566945,100.10000000000001,263.4398
72,KANSAS,14.0,7.7,13.85,0.8147,21.9382,-126.363,-846.363,2.724,0.371,15.855505617977526,-5.759952958765989,107.8,307.1348
73,KANSAS,15.0,7.7,13.85,0.8147,24.0132,-178.882,-898.882,2.705,0.377,15.855505617977526,-7.449319540919161,115.5,360.19800000000004
74,KANSAS,16.0,7.7,13.85,0.8147,26.3752,127.625,-952.375,2.69,0.386,15.855505617977526,4.838825866723286,123.2,422.0032
75,KANSAS,17.0,7.7,13.85,0.8147,27.535,79.18,-1000.82,2.667,0.379,15.855505617977526,2.875612856364627,130.9,468.095
76,KANSAS,18.0,7.7,13.85,0.8147,27.9588,20.76,-1059.24,2.667,0.362,15.855505617977526,0.7425211382462767,138.6,503.2584
77,KANSAS,5.0,7.7,16.33,0.71,8.4732,49.009,-310.991,2.785,0.404,15.855505617977526,5.784001321814663,38.5,42.366
78,KANSAS,6.0,7.7,16.33,0.71,10.6626,-8.141,-368.141,2.753,0.423,15.855505617977526,-0.7635098381257855,46.2,63.9756
79,KANSAS,7.0,7.7,16.33,0.71,12.6529,-61.227,-421.227,2.71,0.427,15.855505617977526,-4.838969722356139,53.9,88.5703
80,KANSAS,8.0,7.7,16.33,0.71,14.751,-119.75,-479.75,2.702,0.434,15.855505617977526,-8.118093688563487,61.6,118.008
81,KANSAS,9.0,7.7,16.33,0.71,16.6537,-173.844,-533.844,2.679,0.434,15.855505617977526,-10.438761356335228,69.3,149.88330000000002
82,KANSAS,10.0,7.7,16.33,0.71,18.5624,129.885,-590.116,2.668,0.435,15.855505617977526,6.99720941257596,77.0,185.624
83,KANSAS,11.0,7.7,16.33,0.71,20.0,81.317,-638.683,2.635,0.423,15.855505617977526,4.065849999999999,84.7,220.0
84,KANSAS,12.0,7.7,16.33,0.71,21.2096,30.201,-689.799,2.615,0.409,15.855505617977526,1.4239306729028367,92.4,254.5152
85,KANSAS,13.0,7.7,16.33,0.71,22.2702,-18.553,-738.553,2.593,0.395,15.855505617977526,-0.8330863665346517,100.10000000000001,289.51259999999996
86,KANSAS,14.0,7.7,16.33,0.71,24.1522,-73.438,-793.438,2.588,0.397,15.855505617977526,-3.0406339795132533,107.8,338.1308
87,KANSAS,15.0,7.7,16.33,0.71,26.7448,-124.141,-844.141,2.573,0.409,15.855505617977526,-4.641687356046783,115.5,401.172
88,KANSAS,16.0,7.7,16.33,0.71,29.6297,-177.233,-897.233,2.565,0.425,15.855505617977526,-5.981599543701084,123.2,474.0752
89,KANSAS,5.0,7.7,16.33,0.7718,9.4217,20.417,-339.583,2.992,0.467,15.855505617977526,2.167018690894425,38.5,47.1085
90,KANSAS,6.0,7.7,16.33,0.7718,11.8352,-41.825,-401.825,2.955,0.486,15.855505617977526,-3.5339495741516833,46.2,71.0112
91,KANSAS,7.0,7.7,16.33,0.7718,13.9794,-99.433,-459.433,2.905,0.487,15.855505617977526,-7.11282315406956,53.9,97.8558
92,KANSAS,8.0,7.7,16.33,0.7718,16.082,-162.691,-522.691,2.894,0.489,15.855505617977526,-10.116341251088173,61.6,128.656
93,KANSAS,9.0,7.7,16.33,0.7718,17.7882,138.612,-581.388,2.867,0.479,15.855505617977526,7.792356730866529,69.3,160.0938
94,KANSAS,10.0,7.7,16.33,0.7718,19.4123,76.686,-643.314,2.858,0.471,15.855505617977526,3.9503819743152544,77.0,194.123
95,KANSAS,11.0,7.7,16.33,0.7718,20.8192,22.497,-697.503,2.825,0.457,15.855505617977526,1.0805890716261912,84.7,229.01119999999997
96,KANSAS,12.0,7.7,16.33,0.7718,22.2702,-33.823,-753.823,2.804,0.445,15.855505617977526,-1.5187560057835134,92.4,267.2424
97,KANSAS,13.0,7.7,16.33,0.7718,23.7417,-85.958,-805.958,2.775,0.435,15.855505617977526,-3.620549497298003,100.10000000000001,308.6421
98,KANSAS,14.0,7.7,16.33,0.7718,25.6799,-143.913,-863.913,2.765,0.437,15.855505617977526,-5.604110607907352,107.8,359.5186
99,KANSAS,15.0,7.7,16.33,0.7718,28.1787,162.793,-917.207,2.743,0.446,15.855505617977526,5.777165021807252,115.5,422.6805
100,KANSAS,5.0,7.7,16.33,0.8116,10.1728,4.805,-355.195,3.108,0.514,15.855505617977526,0.4723379993708713,38.5,50.864000000000004
101,KANSAS,6.0,7.7,16.33,0.8116,12.7278,-60.426,-420.426,3.069,0.532,15.855505617977526,-4.7475604582095885,46.2,76.3668
102,KANSAS,7.0,7.7,16.33,0.8116,14.8945,-120.903,-480.903,3.017,0.53,15.855505617977526,-8.117291617711235,53.9,104.26150000000001
103,KANSAS,8.0,7.7,16.33,0.8116,16.9542,173.036,-546.964,3.004,0.527,15.855505617977526,10.206084627997782,61.6,135.6336
104,KANSAS,9.0,7.7,16.33,0.8116,18.5624,112.327,-607.673,2.974,0.51,15.855505617977526,6.051318794983407,69.3,167.0616
105,KANSAS,10.0,7.7,16.33,0.8116,20.0873,48.807,-671.193,2.96,0.496,15.855505617977526,2.429744166712301,77.0,200.873
106,KANSAS,11.0,7.7,16.33,0.8116,21.5144,-6.652,-726.652,2.921,0.479,15.855505617977526,-0.3091882646041721,84.7,236.65839999999997
107,KANSAS,12.0,7.7,16.33,0.8116,23.098,-64.24,-784.24,2.896,0.469,15.855505617977526,-2.781193176898433,92.4,277.176
108,KANSAS,13.0,7.7,16.33,0.8116,24.7314,-117.269,-837.269,2.862,0.46,15.855505617977526,-4.741704877200644,100.10000000000001,321.5082
109,KANSAS,14.0,7.7,16.33,0.8116,26.7448,-176.318,-896.318,2.847,0.463,15.855505617977526,-6.592608656636057,107.8,374.4272
110,KANSAS,15.0,7.7,16.33,0.8116,29.3704,128.736,-951.264,2.824,0.471,15.855505617977526,4.383188516329366,115.5,440.556
111,KANSAS,5.0,6.5,18.13,0.7279,8.2234,72.736,-287.264,2.996,0.484,15.855505617977526,8.845003283313472,32.5,41.117
112,KANSAS,6.0,6.5,18.13,0.7279,10.3425,23.011,-336.989,2.937,0.502,15.855505617977526,2.224897268552091,39.0,62.05499999999999
113,KANSAS,7.0,6.5,18.13,0.7279,12.2522,-22.29,-382.29,2.869,0.503,15.855505617977526,-1.8192651115717993,45.5,85.7654
114,KANSAS,8.0,6.5,18.13,0.7279,14.4708,-71.956,-431.956,2.84,0.517,15.855505617977526,-4.972496337451973,52.0,115.7664
115,KANSAS,9.0,6.5,18.13,0.7279,16.8328,-117.206,-477.206,2.797,0.531,15.855505617977526,-6.962953281688133,58.5,151.49519999999998
116,KANSAS,10.0,6.5,18.13,0.7279,19.4123,-163.769,-523.769,2.767,0.55,15.855505617977526,-8.436352209681491,65.0,194.123
117,KANSAS,11.0,6.5,18.13,0.7279,21.4116,154.12,-565.88,2.727,0.546,15.855505617977526,7.197967456892526,71.5,235.5276
118,KANSAS,12.0,6.5,18.13,0.7279,22.9748,105.261,-614.739,2.719,0.537,15.855505617977526,4.581585041001445,78.0,275.69759999999997
119,KANSAS,13.0,6.5,18.13,0.7279,24.437,56.677,-663.323,2.711,0.526,15.855505617977526,2.3193108810410443,84.5,317.68100000000004
120,KANSAS,14.0,6.5,18.13,0.7279,26.3752,3.577,-716.423,2.717,0.529,15.855505617977526,0.13561982468379385,91.0,369.2528
121,KANSAS,15.0,6.5,18.13,0.7279,28.636,-43.337,-763.337,2.705,0.533,15.855505617977526,-1.5133747730129907,97.5,429.53999999999996
122,KANSAS,5.0,6.5,18.13,0.7978,9.2688,44.431,-315.569,3.248,0.568,15.855505617977526,4.793608665630933,32.5,46.344
123,KANSAS,6.0,6.5,18.13,0.7978,11.8013,-10.609,-370.609,3.183,0.596,15.855505617977526,-0.8989687576792388,39.0,70.8078
124,KANSAS,7.0,6.5,18.13,0.7978,14.0667,-60.358,-420.358,3.104,0.601,15.855505617977526,-4.29084291269452,45.5,98.46690000000001
125,KANSAS,8.0,6.5,18.13,0.7978,16.4782,-115.197,-475.197,3.073,0.614,15.855505617977526,-6.990872789503707,52.0,131.8256
126,KANSAS,9.0,6.5,18.13,0.7978,18.9384,-167.108,-527.108,3.034,0.623,15.855505617977526,-8.823765471211928,58.5,170.4456
127,KANSAS,10.0,6.5,18.13,0.7978,21.7237,136.957,-583.043,3.02,0.642,15.855505617977526,6.3044969319222774,65.0,217.23700000000002
128,KANSAS,11.0,6.5,18.13,0.7978,24.0132,87.159,-632.841,2.985,0.641,15.855505617977526,3.629628704212683,71.5,264.1452
129,KANSAS,12.0,6.5,18.13,0.7978,25.6799,33.879,-686.121,2.971,0.628,15.855505617977526,1.3192808383210215,78.0,308.1588
130,KANSAS,13.0,6.5,18.13,0.7978,26.9357,-16.938,-736.938,2.951,0.604,15.855505617977526,-0.6288308824348355,84.5,350.1641
131,KANSAS,14.0,6.5,18.13,0.7978,28.4043,-72.767,-792.767,2.949,0.594,15.855505617977526,-2.561830427083223,91.0,397.6602
132,KANSAS,5.0,6.5,18.13,0.842,10.1448,25.932,-334.068,3.417,0.637,15.855505617977526,2.5561864206292877,32.5,50.724000000000004
133,KANSAS,6.0,6.5,18.13,0.842,12.9178,-32.296,-392.296,3.346,0.669,15.855505617977526,-2.500116118843766,39.0,77.5068
134,KANSAS,7.0,6.5,18.13,0.842,15.391,-84.835,-444.835,3.259,0.675,15.855505617977526,-5.511987525177051,45.5,107.737
135,KANSAS,8.0,6.5,18.13,0.842,17.9926,-142.785,-502.785,3.225,0.686,15.855505617977526,-7.9357624801307205,52.0,143.9408
136,KANSAS,9.0,6.5,18.13,0.842,20.4455,161.665,-558.335,3.186,0.689,15.855505617977526,7.90711892592502,58.5,184.0095
137,KANSAS,10.0,6.5,18.13,0.842,23.098,100.717,-619.283,3.18,0.702,15.855505617977526,4.3604208156550355,65.0,230.98
