Variety,Freq,M%,Phase_Corr,Permittivity_real,Permittivity_imaginary,d(cm)
NEBRASKA OVERLAND,14.0,11.61,-900.952,2.561,0.266,8.9
NEBRASKA OVERLAND,15.0,11.61,-959.771,2.55,0.272,8.9
NEBRASKA OVERLAND,16.0,11.61,-1020.298,2.543,0.282,8.9
NEBRASKA OVERLAND,17.0,11.61,-1073.341,2.524,0.279,8.9
NEBRASKA OVERLAND,18.0,11.61,-1133.031,2.519,0.267,8.9
NEBRASKA OVERLAND,6.0,11.61,-418.288,2.723,0.315,8.9
NEBRASKA OVERLAND,7.0,11.61,-479.767,2.686,0.312,8.9
NEBRASKA OVERLAND,8.0,11.61,-546.768,2.681,0.309,8.9
NEBRASKA OVERLAND,9.0,11.61,-608.188,2.657,0.301,8.9
NEBRASKA OVERLAND,10.0,11.61,-672.904,2.649,0.294,8.9
NEBRASKA OVERLAND,11.0,11.61,-730.839,2.623,0.285,8.9
NEBRASKA OVERLAND,12.0,11.61,-793.139,2.613,0.279,8.9
NEBRASKA OVERLAND,13.0,11.61,-851.763,2.596,0.274,8.9
NEBRASKA OVERLAND,14.0,11.61,-916.833,2.595,0.277,8.9
NEBRASKA OVERLAND,15.0,11.61,-976.795,2.584,0.283,8.9
NEBRASKA OVERLAND,16.0,11.61,-1038.803,2.577,0.292,8.9
NEBRASKA OVERLAND,17.0,11.61,-1092.884,2.558,0.29,8.9
NEBRASKA OVERLAND,18.0,11.61,-1152.76,2.551,0.278,8.9
NEBRASKA OVERLAND,5.0,14.63,-312.356,2.796,0.39,7.7
NEBRASKA OVERLAND,6.0,14.63,-370.712,2.77,0.407,7.7
NEBRASKA OVERLAND,7.0,14.63,-425.017,2.731,0.409,7.7
NEBRASKA OVERLAND,8.0,14.63,-484.597,2.725,0.415,7.7
NEBRASKA OVERLAND,9.0,14.63,-539.224,2.702,0.411,7.7
NEBRASKA OVERLAND,10.0,14.63,-595.912,2.69,0.407,7.7
NEBRASKA OVERLAND,11.0,14.63,-645.399,2.659,0.393,7.7
NEBRASKA OVERLAND,12.0,14.63,-698.426,2.643,0.38,7.7
NEBRASKA OVERLAND,13.0,14.63,-749.347,2.624,0.37,7.7
NEBRASKA OVERLAND,14.0,14.63,-806.814,2.623,0.376,7.7
NEBRASKA OVERLAND,15.0,14.63,-860.054,2.612,0.388,7.7
NEBRASKA OVERLAND,16.0,14.63,-915.205,2.606,0.403,7.7
NEBRASKA OVERLAND,17.0,14.63,-964.547,2.59,0.396,7.7
NEBRASKA OVERLAND,18.0,14.63,-1021.336,2.592,0.368,7.7
